label,accuracy,f1,recall,precision,model_path,dataset
minminzemi,0.9244444444444444,0.8425925925925926,0.8425925925925926,0.8425925925925926,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,tune
niiniizemi,0.9022222222222224,0.8957345971563981,0.9264705882352942,0.8669724770642202,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,tune
tsukutsukuboushi,0.7955555555555556,0.5660377358490567,0.4,0.967741935483871,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,tune
aburazemi,0.9227777777777778,0.8997837058399424,0.912280701754386,0.887624466571835,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,test
higurashi,0.9316666666666666,0.5802047781569966,0.8854166666666666,0.4314720812182742,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,test
minminzemi,0.9233333333333332,0.838407494145199,0.8008948545861297,0.8796068796068796,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,test
niiniizemi,0.91,0.91019955654102,0.960233918128655,0.8651211801896733,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,test
tsukutsukuboushi,0.8661111111111112,0.6471449487554904,0.4846491228070175,0.973568281938326,step3_model_training/mlruns/388903047945866758/5779274e5d3d46adb8ca110736454fd5,test
aburazemi,0.7222222222222222,0.4813278008298756,0.32222222222222224,0.9508196721311476,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,tune
higurashi,0.9466666666666668,0,0,0,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,tune
minminzemi,0.9244444444444444,0.8247422680412371,0.7407407407407407,0.9302325581395348,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,tune
niiniizemi,0.7266666666666667,0.6554621848739496,0.5735294117647058,0.7647058823529411,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,tune
tsukutsukuboushi,0.7444444444444445,0.3850267379679144,0.24,0.972972972972973,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,tune
aburazemi,0.7316666666666667,0.49104320337197055,0.3406432748538012,0.879245283018868,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,test
higurashi,0.9466666666666668,0,0,0,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,test
minminzemi,0.9166666666666666,0.806201550387597,0.697986577181208,0.9541284403669724,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,test
niiniizemi,0.7727777777777778,0.7409753008233058,0.6842105263157895,0.8080110497237569,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,test
tsukutsukuboushi,0.8183333333333334,0.4577114427860696,0.3026315789473684,0.9387755102040816,step3_model_training/mlruns/388903047945866758/fe46ec38e31744b19786133ad83b3015,test
aburazemi,0.9,0.8656716417910448,0.8055555555555556,0.935483870967742,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,tune
higurashi,0.9511111111111112,0.3125,0.20833333333333337,0.625,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,tune
minminzemi,0.9377777777777778,0.8640776699029127,0.8240740740740741,0.9081632653061223,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,tune
niiniizemi,0.8466666666666667,0.8516129032258065,0.9705882352941176,0.7586206896551724,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,tune
tsukutsukuboushi,0.8222222222222222,0.6666666666666667,0.5333333333333333,0.8888888888888888,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,tune
aburazemi,0.9261111111111112,0.8997739261492087,0.8728070175438597,0.9284603421461898,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,test
higurashi,0.9638888888888888,0.6198830409356726,0.5520833333333334,0.7066666666666667,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,test
minminzemi,0.9216666666666666,0.8323424494649226,0.7829977628635347,0.8883248730964467,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,test
niiniizemi,0.8533333333333334,0.861635220125786,0.9614035087719298,0.7806267806267806,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,test
tsukutsukuboushi,0.8827777777777778,0.7137042062415196,0.5767543859649122,0.9359430604982206,step3_model_training/mlruns/388903047945866758/0fd52a7afe494559bdeef761bedac3e7,test
aburazemi,0.9311111111111112,0.9106628242074928,0.8777777777777778,0.9461077844311376,step3_model_training/mlruns/388903047945866758/c32c1f1bb0d04c21a25634fab29f7c5b,tune
higurashi,0.9511111111111112,0.5599999999999999,0.5833333333333334,0.5384615384615384,step3_model_training/mlruns/388903047945866758/c32c1f1bb0d04c21a25634fab29f7c5b,tune
minminzemi,0.9422222222222222,0.87,0.8055555555555556,0.9456521739130436,step3_model_training/mlruns/388903047945866758/c32c1f1bb0d04c21a25634fab29f7c5b,tune
niiniizemi,0.8844444444444445,0.8790697674418605,0.9264705882352942,0.8362831858407079,step3_model_training/mlruns/388903047945866758/c32c1f1bb0d04c21a25634fab29f7c5b,tune
tsukutsukuboushi,0.76,0.4705882352941176,0.32,0.8888888888888888,step3_model_training/mlruns/388903047945866758/c32c1f1bb0d04c21a25634fab29f7c5b,tune
aburazemi,0.9444444444444444,0.92603550295858,0.9152046783625732,0.937125748502994,step3_model_training/mlruns/388903047945866758/c32c1f1bb0d04c21a25634fab29f7c5b,test
